country,date,rating
Abu Dhabi,2007-07-02,AA
Angola,2012-05-23,BB-
Angola,2011-05-24,BB-
Angola,2010-05-19,B+
Argentina,2010-07-12,B
Argentina,2008-12-18,RD
Argentina,2006-08-01,RD
Argentina,2005-12-14,RD
Argentina,2005-06-03,DDD
Argentina,2005-01-14,D
Argentina,2004-06-17,DDD
Argentina,2004-04-26,DDD
Argentina,2002-01-04,DDD
Argentina,2001-12-03,DDD
Argentina,2001-11-06,C
Argentina,2001-11-02,CC
Argentina,2001-10-12,CCC-
Argentina,2001-07-11,B-
Argentina,2001-03-28,B+
Argentina,2001-03-20,BB-
Argentina,2000-09-21,BB
Argentina,1997-12-03,BB
Argentina,1997-05-28,BB
Armenia,2009-08-13,BB-
Armenia,2008-07-03,BB
Armenia,2007-05-01,BB-
Armenia,2006-05-24,BB-
Aruba,2006-06-08,BBB
Aruba,2003-06-12,BBB
Aruba,2002-04-29,BBB
Australia,2011-11-28,AAA
Australia,2003-02-03,AA+
Australia,2000-09-21,AA
Australia,1998-11-19,AA
Australia,1998-06-18,AA
Australia,1996-01-25,AA
Austria,2000-09-21,AAA
Austria,1995-10-26,AAA
Austria,1994-08-10,AAA
Azerbaijan,2012-05-11,BBB-
Azerbaijan,2011-05-17,BBB-
Azerbaijan,2010-05-20,BBB-
Azerbaijan,2007-02-05,BB+
Azerbaijan,2004-11-22,BB
Azerbaijan,2002-07-25,BB-
Azerbaijan,2001-07-20,BB-
Azerbaijan,2000-09-21,B+
Azerbaijan,2000-07-03,B+
Bahrain,2011-08-03,BBB
Bahrain,2011-03-15,BBB
Bahrain,2011-03-03,A-
Bahrain,2011-02-17,A
Bahrain,2007-08-24,A
Bahrain,2006-08-17,A-
Bahrain,2003-01-10,A-
Bahrain,2002-12-16,BBB
Bahrain,2001-11-27,BBB
Bahrain,2000-09-21,BBB-
Bahrain,2000-02-16,BBB-
Belgium,2012-01-27,AA
Belgium,2011-12-16,AA+
Belgium,2011-05-23,AA+
Belgium,2006-05-02,AA+
Belgium,2002-06-17,AA
Belgium,2000-09-21,AA-
Belgium,1998-12-16,AA-
Belgium,1998-07-14,AA+
Belgium,1995-10-26,AA+
Belgium,1994-08-10,AA+
Benin,2012-01-25,withdrawn
Benin,2004-09-15,B
Bermuda,2012-06-26,AA
Bermuda,2006-08-11,AA+
Bermuda,2000-09-21,AA
Bermuda,1995-10-26,AA
Bermuda,1994-08-10,AA
Bolivia,2010-10-05,B+
Bolivia,2009-09-08,B
Bolivia,2007-07-27,B-
Bolivia,2005-06-17,B-
Bolivia,2004-03-17,B-
Brazil,2011-04-04,BBB
Brazil,2010-06-28,BBB-
Brazil,2008-05-29,BBB-
Brazil,2007-05-09,BB+
Brazil,2007-02-05,BB
Brazil,2006-06-28,BB
Brazil,2005-10-11,BB-
Brazil,2004-09-28,BB-
Brazil,2003-11-06,B+
Brazil,2003-06-03,B
Brazil,2003-03-10,B
Brazil,2002-10-21,B
Brazil,2002-08-01,B+
Brazil,2002-06-20,B+
Brazil,2001-07-17,BB-
Brazil,2000-09-21,BB-
Brazil,2000-05-19,BB-
Brazil,2000-02-22,B+
Brazil,1999-01-26,B
Brazil,1997-12-03,B+
